UserID, Gender, Age, Education, Reading_FQ
1, 1, 24, 博士及以上, 1
2, 1, 25, 硕士, 1
3, 1, 23, 硕士, 2
4, 1, 24, 硕士, 1
5, 1, 24, 硕士, 2
6, 1, 23, 硕士, 3
7, 1, 23, 硕士, 2
8, 1, 24, 硕士, 2
9, 1, 21, 本科, 3
10, 1, 22, 本科, 1
11, 1, 26, 本科, 2
12, 1, 24, 硕士, 1
13, 0, 22, 硕士, 1
14, 1, 27, 博士及以上, 1
15, 1, 23, 硕士, 2
16, 1, 22, 硕士, 3
17, 1, 23, 硕士, 2
18, 1, 24, 硕士, 2
19, 1, 24, 硕士, 1
20, 1, 25, 博士及以上, 1
21, 1, 28, 博士及以上, 2
22, 0, 23, 本科, 0
23, 1, 23, 硕士, 1
24, 1, 23, 硕士, 2
25, 1, 23, 硕士, 1
26, 1, 25, 本科, 2
27, 1, 23, 博士及以上, 2
28, 1, 23, 硕士, 1
29, 1, 25, 硕士, 1
30, 1, 24, 硕士, 2
31, 1, 22, 本科, 1
32, 1, 23, 硕士, 3
33, 1, 24, 硕士, 1
34, 0, 22, 硕士, 1
35, 1, 24, 硕士, 2
36, 1, 23, 硕士, 2
37, 1, 23, 硕士, 2
38, 1, 23, 硕士, 2
39, 1, 23, 硕士, 1
40, 1, 23, 硕士, 1
41, 1, 22, 硕士, 3
42, 1, 25, 博士及以上, 1
43, 1, 25, 本科, 2
44, 1, 23, 硕士, 3
45, 1, 24, 硕士, 1
46, 1, 24, 博士及以上, 1
47, 1, 24, 硕士, 2
48, 1, 22, 本科, 3
49, 1, 24, 硕士, 1
50, 1, 25, 本科, 2
51, 1, 24, 硕士, 2
52, 1, 27, 博士及以上, 2
